"Relative Time (Process)","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MAX","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MAX"
"320.352497851","8161984512","8161984512","8161984512","9372041216","9372041216","9372041216"
"330.351252926","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"340.363319938","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"350.350845334","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"360.353414985","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"370.351303602","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"380.35915786","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"390.354118942","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"400.368334154","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"410.352010788","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"420.361184883","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"430.351529007","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"440.353586948","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"450.353210131","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"460.361499989","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"470.352412526","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"480.359053059","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"490.35707605","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"500.354073772","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"510.366181319","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"520.350562412","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"530.351154818","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"540.35582236","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"550.359653315","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"560.351231023","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"570.352539368","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"580.351808277","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"590.349459623","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"600.350227064","7895646208","7895646208","7895646208","9372041216","9372041216","9372041216"
"610.359954174","8166178816","8166178816","8166178816","9372041216","9372041216","9372041216"
"620.358807514","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"630.362835906","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"640.361542535","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"650.364662834","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"660.355408033","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"670.361302032","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"680.398436286","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"690.353355865","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"700.353219925","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"710.355657697","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"720.357908298","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"730.35201113","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"740.358407076","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"750.352414186","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"760.353766565","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"770.352175195","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"780.353447913","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"790.352512953","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"800.360129975","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"810.351421643","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"820.367357268","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"830.356926245","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"840.350481973","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"850.351620507","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"860.352085706","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"870.350659911","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"880.350540127","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"890.35122273","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"900.352173237","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"910.350332388","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"920.351141529","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"930.359372176","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"940.362209276","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"950.352619916","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"960.357221975","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"970.360373409","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"980.361372574","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"990.355412429","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1000.361699879","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1010.351732969","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1020.353760585","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1030.352752504","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1040.352236984","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1050.357483211","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1060.35226475","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1070.351994797","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1080.360549027","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1090.354296216","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1100.351929116","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1110.36004242","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1120.355155464","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1130.353288896","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1140.352909881","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1150.361762962","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1160.354633105","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1170.351683039","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1180.351294098","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1190.354306758","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"1200.350362374","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"1210.350879354","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1220.355839027","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1230.352771574","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1240.357597698","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1250.366998348","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1260.367548142","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1270.350948539","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1280.355859643","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1290.351542917","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1300.356953087","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1310.351017452","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1320.355742515","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1330.359228507","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1340.358806628","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1350.360780209","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1360.354184754","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1370.355237522","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1380.351858116","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1390.352127388","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1400.356163265","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1410.362574695","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1420.355095762","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1430.354975269","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1440.362179914","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1450.356685792","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1460.352825697","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1470.352010434","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1480.357453973","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
